"","title","description","streetaddress","city","state","Year","lat","long"
"188","Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",1984,"37.7753288",-122.4098955
"189","Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",1985,"37.7753288",-122.4098955
"190","Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",1986,"37.7753288",-122.4098955
"191","Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",1987,"37.7753288",-122.4098955
"192","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1955,"37.79917675",-122.407498052144
"193","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1956,"37.79917675",-122.407498052144
"194","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1957,"37.79917675",-122.407498052144
"195","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1958,"37.79917675",-122.407498052144
"196","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1959,"37.79917675",-122.407498052144
"197","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1960,"37.79917675",-122.407498052144
"198","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1961,"37.79917675",-122.407498052144
"199","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1962,"37.79917675",-122.407498052144
"200","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1963,"37.79917675",-122.407498052144
"201","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1964,"37.79917675",-122.407498052144
"202","Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",1965,"37.79917675",-122.407498052144
"203","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1987,"40.7376427",-74.0037475
"204","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1988,"40.7376427",-74.0037475
"205","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1989,"40.7376427",-74.0037475
"206","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1990,"40.7376427",-74.0037475
"207","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1991,"40.7376427",-74.0037475
"208","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1992,"40.7376427",-74.0037475
"209","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1993,"40.7376427",-74.0037475
"210","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1994,"40.7376427",-74.0037475
"211","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1995,"40.7376427",-74.0037475
"212","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1996,"40.7376427",-74.0037475
"213","Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",1997,"40.7376427",-74.0037475
